USAF,Site Name,State,Latitude,Longitude,TZ,Elev,Class,Pool,Latitude Difference,Longitude Difference,Product
690150,TWENTYNINE PALMS,CA,34.3,-116.167,-8,626,II,12,0.8058,4.2409,3.41731722
690190,ABILENE DYESS AFB,TX,32.433,-99.85,-6,545,II,12,1.0612,12.0761,12.81515732
690230,WHIDBEY ISLAND NAS,WA,48.35,-122.667,-8,10,II,12,14.8558,10.7409,159.5646622
699604,YUMA MCAS,AZ,32.65,-114.617,-7,65,II,12,0.8442,2.6909,2.27165778
700197,SELAWIK,AK,66.6,-160,-9,8,III,11,33.1058,48.0739,1591.524919
700260,BARROW W POST-W ROGERS ARPT [NSA - ARM],AK,71.32,-156.62,-9,10,II,24,37.8258,44.6939,1690.582523
700637,DEADHORSE,AK,70.2,-148.483,-9,23,II,12,36.7058,36.5569,1341.85026
701043,POINT HOPE (AWOS),AK,68.35,-166.8,-9,4,II,12,34.8558,54.8739,1912.673684
701195,SHISHMAREF (AWOS),AK,66.267,-166.05,-9,2,II,12,32.7728,54.1239,1773.79175
701330,KOTZEBUE RALPH WEIN MEMORIAL,AK,66.883,-162.6,-9,3,II,24,33.3888,50.6739,1691.940712
701625,ANAKTUVUK PASS,AK,68.133,-151.733,-9,657,III,11,34.6388,39.8069,1378.863248
701718,AMBLER,AK,67.1,-157.85,-9,88,II,12,33.6058,45.9239,1543.309399
701740,BETTLES FIELD,AK,66.917,-151.517,-9,196,II,24,33.4228,39.5909,1323.238733
701780,TANANA RALPH M CALHOUN MEM AP,AK,65.167,-152.1,-9,71,II,12,31.6728,40.1739,1272.4199
701940,FORT YUKON,AK,66.567,-145.267,-9,136,III,10,33.0728,33.3409,1102.676918
702000,NOME MUNICIPAL ARPT,AK,64.517,-165.45,-9,4,II,24,31.0228,53.5239,1660.461245
702005,SAINT MARY`S (AWOS),AK,62.067,-163.3,-9,95,II,12,28.5728,51.3739,1467.89617
702035,SAVOONGA,AK,63.683,-170.5,-9,17,III,12,30.1888,58.5739,1768.275752
702040,GAMBELL,AK,63.783,-171.75,-9,8,III,10,30.2888,59.8239,1811.994142
702070,UNALAKLEET FIELD,AK,63.883,-160.8,-9,5,III,11,30.3888,48.8739,1485.219172
702075,ANVIK,AK,62.65,-160.183,-9,99,III,10,29.1558,48.2569,1406.968525
702084,EMMONAK,AK,62.783,-164.5,-9,4,II,12,29.2888,52.5739,1539.826442
